language
American Sign 
Amharic
Arabic
Belarusian
Bengali
Cantonese
Chinese
Czech
Danish
English
Esperanto
French
Gaelic
German
Greek
Hebrew
Hindi
Hmong
Hungarian
Irish Gaelic
Italian
Japanese
Japanese Sign 
Kinyarwanda
Korean
Latin
Malayalam
Mandarin
Nepali
None
Norwegian
Old English
Persian
Polish
Portuguese
Quenya
Russian
Saami
Shanghainese
Sicilian
Sindarin
Spanish
Swahili
Swedish
Tamil
Thai
Turkish
Vietnamese
Xhosa
Yiddish
Zulu
