father,7.150193638426601
kill,6.897556478683665
family,6.243296150543197
police,6.090358703282863
say,5.916744258698905
men,5.685230230140075
child,5.277773073869333
son,5.195959359632781
car,5.066208707763448
old,5.006206803308246
mother,4.9636358173180435
wife,4.865985752469922
friend,4.841925284281083
money,4.781977500668041
young,4.736906828981494
room,4.706905800877241
name,4.646532478283025
boy,4.580938782600841
war,4.57985542349982
woman,4.43337319375162
love,4.2696578276324075
live,4.231895773616994
house,4.203971298612134
train,4.197281296893994
school,4.193954431874019
murder,4.179908104904491
run,4.14027571783266
german,4.102958971475145
night,3.9669483342851137
fight,3.951081456452645
world,3.931940665186777
girl,3.836078249579445
brother,3.805930020489449
film,3.7234176483759334
death,3.7066157943328792
town,3.683949697798663
people,3.6758891396443754
story,3.6745762506629402
show,3.6407959804321104
start,3.627062386833774
escape,3.619869190433317
city,3.602844473018485
apartment,3.5981438411278313
officer,3.592163624739466
daughter,3.5734270618778288
force,3.4469320677040263
head,3.427528661825693
plan,3.3773213922810066
shoot,3.332117863266046
order,3.323212278072119
watch,3.3066182723243944
fall,3.261606448730729
parent,3.2590032456429268
play,3.2372166608984907
hand,3.2164905714758985
drive,3.214494656627906
page,3.202158168663762
follow,3.1945068540886155
talk,3.1638912804541985
door,3.1636034621778877
gang,3.162104422913188
army,3.1581225122685987
fire,3.1519371247001655
anoth,3.1326851142030505
walk,3.1208534028116417
face,3.1004005012443225
ring,3.083939336557887
learn,3.0763095196342896
soldier,3.0742352212885833
believe,3.044104263985345
gun,3.0425067188683452
job,3.0119414261842343
die,3.01004296316971
open,3.0049296439310296
attack,2.988229829581199
dead,2.983539393452074
stop,2.98325990366717
dog,2.9434896476215555
hotel,2.9146170523955925
move,2.911929578275312
use,2.9040979546264243
prison,2.8499633903236425
park,2.8104524460409728
never,2.805234730738077
attempt,2.771259433520892
truck,2.7594838453813595
thing,2.7411526449600583
break,2.73793802083767
visit,2.722967076614852
become,2.7170870778580323
refuse,2.706094491648041
local,2.6902469423867417
together,2.6569111439111475
power,2.641623950432705
send,2.622186808250963
steal,2.6112992965728923
husband,2.604910666130538
appear,2.5920561885711275
white,2.590311067028578
long,2.575730746795973
